x,y,label
-114246331.28798142,4088.202979143213,Other
290290117.7452293,-1105.2819153017747,Other
153028645.74091768,-654.9459135267235,Other
-575648035.3038961,5867.767462213097,D#
229306951.73818725,62.29310648080953,Other
289654336.7457429,-1203.2862095809255,Other
221136313.73259416,1095.288165449935,Other
-42706100.26311314,-413.4655024452356,Other
107965225.74821997,-2152.2082444453144,D#
294557863.74567044,-1176.4591971238547,Other
124962701.74002148,-560.2642914362391,Other
306059696.73934615,47.16917762793737,Other
205405929.74679887,-1625.8225421805219,Other
-72819898.26067008,-954.1012132093539,Other
281642764.7429759,-702.6604713594793,Other
279649623.7389662,48.93372792732096,Other
110194919.73655893,52.40615511667461,Other
93424816.73914963,-479.50753615810765,Other
271312026.7456965,-1243.2339586407754,Other
181975214.74828988,-1969.0824561726838,Other
-247355474.28658748,3471.4325952290083,Other
13323033.737526504,-385.76950222685565,Other
-133712188.26868802,396.4867437419022,Other
-191050008.27104962,690.8364324922825,Other
171041351.7400678,-446.78043861723893,Other
111604787.7459646,-1716.9002786934705,Other
146092407.74095628,-680.5860196924503,Other
-97844861.28162271,2931.583452581735,Other
291400809.7431661,-712.3549773131512,Other
163838654.73725674,64.36239911426603,Other
-206330462.2638107,-715.9114860280778,Other
211855718.74692094,-1631.5893904871339,Other
-1836247.2622952098,-459.31202343709555,Other
38891285.73262271,607.2991296932543,D#
262985902.7426071,-682.4086024841902,Other
125225333.74153051,-844.0990522683096,Other
311418582.7458082,-1157.8754884101593,Other
-345980030.2898998,3836.3630498510606,Other
-336487265.2695408,21.029155753275337,Other
-49036791.25387435,-2173.404021055412,Other
293607276.74414665,-891.472647314494,Other
246765220.74217352,-643.5070865963355,Other
-1442455302.3403835,10453.73423932077,Other
-713421244.2708735,-726.1742399188673,Other
16038913.737423725,-359.9141920636875,Other
222101276.7472388,-1664.392972524754,Other
274563974.7433181,-785.6613303924659,Other
-9035284.256593037,-1554.4026464434448,Other
233998950.74653378,-1500.0486033669722,Other
-338189089.2847422,2881.6971174573105,Other
-373430330.27357674,682.9190734481023,Other
71413001.73709953,-151.06236950890218,Other
163608119.7431626,-1050.5197685254602,Other
227698110.74348688,-941.9443430302316,Other
157096375.73443398,578.7626768375494,Other
22952835.72501284,2000.12714308025,Other
-81284544.26013312,-1077.8776456312012,Other
175719361.7356728,394.3455803727921,Other
248135654.74460274,-1098.1255295322658,Other
-402589259.26671183,-688.5006268780647,Other
55078744.72676116,1754.8772692235739,D#
296559488.7462493,-1280.4955338970542,Other
-148680068.27675426,1878.6816811700612,Other
10123263.746686999,-2122.1820595962586,Other
315163813.7371171,491.94938008888994,Other
-261500353.26212108,-1180.5400686861904,Other
-760887901.304009,5396.197650537402,Other
163136719.74409795,-1228.1447747039217,Other
-459016668.307539,6862.643427732678,Other
-953254634.2677823,-1946.3975171863906,Other
107860818.74659267,-1845.7236703201409,Other
-882130622.2815593,840.520339127605,Other
243483013.74182728,-586.845127980487,Other
195173256.74280387,-899.3077281488077,Other
160772676.74642903,-1674.3690119096495,Other
217889464.73472884,684.2787916349567,Other
-778922980.2893364,2581.210966673964,Other
62145102.73949552,-627.7557327141703,Other
-222841091.26147237,-1200.9526632282805,Other
201254929.7468408,-1644.7708013172364,Other
231338272.74176103,-606.4638711227401,Other
241289795.7370565,307.40691003966975,Other
137172773.74718288,-1879.1893355128839,Other
273943811.7423344,-601.7688406619341,Other
138506434.74656084,-1758.519173983494,Other
-253318553.26306692,-980.3629118390655,Other
-1201023.2627212885,-377.12301619184854,Other
-54686290.25312748,-2328.9240138804353,Other
115648345.74547948,-1615.0024071583182,Other
87131093.74472933,-1548.6893357586869,Other
-408362719.2751848,892.5918872781095,Other
68807327.74469726,-1591.224260438612,Other
273069058.7428461,-700.8827990364671,Other
200083638.74387056,-1087.3294863532622,Other
-651203009.287456,2566.0029639866075,Other
-955768685.2856253,1412.336393990846,Other
61344252.74034177,-789.7675139272127,Other
-189569924.26589152,-278.5437369635616,Other
80786729.74111311,-883.4381473189063,Other
13470485.729631558,1103.8362314446242,Other
150269864.74729437,-1865.317733144845,D#
257323642.74650016,-1432.0958686804354,Other
-87482617.25231056,-2570.326207388743,Other
-229662588.26230994,-1060.873185573479,Other
177835683.74677548,-1694.703022395542,Other
-478078116.2969999,4825.375731240031,Other
-80959500.2520129,-2608.7400784240153,Other
193747396.74458396,-1238.7752195787734,Other
214791540.74547836,-1351.76845543084,Other
119071957.74004422,-580.2950404682947,Other
-245937714.27253935,826.5083244829957,Other
213100984.7470226,-1647.7974716862705,Other
94894417.73990135,-617.2227824345402,Other
-550638116.2784585,1133.9036537059308,Other
216799092.7444425,-1151.0264853994636,Other
236108864.74290502,-809.6137298826976,Other
-1226921743.3153753,6306.149714319515,Other
283182479.7428525,-675.0022269364985,Other
173447434.73816034,-80.8866584359686,Other
281005102.74236965,-589.6501791094151,Other
-157126170.26149124,-1023.114370700839,Other
280328275.7474388,-1547.77905205295,Other
-183791085.27306575,1090.0515647793436,Other
-18771000.25268664,-2317.294582252136,Other
153642571.73811123,-123.93512113483392,Other
218125855.74407637,-1078.8333327331716,Other
163152680.74145508,-729.6570935017913,Other
-354756459.34842926,14855.508383335642,Other
63725393.70086135,6664.2097905640885,Other
-123274496.26421471,-419.261232520029,Other
-452295549.2837573,2395.3418740107254,Other
-767335584.314159,7294.0640329982525,Other
123451923.74135272,-817.4271955049336,Other
227467399.7395827,-205.65669931584253,Other
157211611.73912024,-304.7152772937752,Other
225072147.73187762,1241.0250559839606,Other
20337559.736967176,-261.36085462707763,Other
283049221.74603945,-1276.8892682757962,Other
253413269.74372724,-919.238880446645,Other
75539782.73462228,327.42058015271084,Other
-221969786.2632194,-868.9723915695482,Other
-99955564.27130103,979.5662281543213,Other
152916600.72151148,3005.6828349406633,Other
117213150.74318436,-1177.7016398561823,Other
47562166.72685436,1718.1334334802807,Other
-178487821.26158527,-1061.3122096291756,Other
98240019.73977293,-584.5179125988863,Other
294636121.7464562,-1324.6067834728049,Other
254358801.74412364,-991.5388427277976,Other
192330567.74597874,-1505.6846594212407,Other
-832351049.2736727,-515.8411497312364,Other
-205088799.261227,-1199.8561014646978,Other
-473694458.39817065,23923.4152744528,Other
304687640.7453104,-1081.8527838124824,Other
263847538.74378988,-903.1200398280315,D#
52546799.717462815,3503.276051679461,Other
-317220290.26125234,-1491.9738887960398,Other
-273115721.2688083,49.93801306115698,Other
240791417.74128115,-491.36756521783997,Other
237895275.743551,-926.8578635504014,Other
114743635.74519254,-1563.4742997351711,Other
-38534915.2620603,-601.8608513419977,Other
-251224938.26584375,-451.2483783662662,Other
-5950140.25202976,-2407.0876627287666,Other
92061882.73620594,72.2212311734975,Other
65186106.746247984,-1893.3655372237538,Other
2641653.74541672,-1902.7238736528543,Other
-101156505.26442343,-321.21099356525286,Other
44426667.73688181,-181.48115071199229,Other
194188311.73809958,-14.80180410569043,Other
-489534632.263877,-1455.266728343959,Other
-912049229.2867545,1742.5300281229843,Other
256764004.74234357,-649.1161207226214,D#
157563928.7430592,-1047.0300784191338,Other
299282306.74356955,-767.6038291361098,Other
-325527442.26845473,-155.40828551386707,Other
-639970473.2730205,-127.56558222674654,Other
2417427.7408930305,-1049.5527492029537,Other
191886901.73843706,-84.07545773281578,Other
-245372350.27364433,1035.9147379382616,Other
-275970189.2563665,-2304.3316864505605,Other
160842165.739228,-315.38663960067885,Other
238472017.73954922,-170.22712583954214,Other
-328844587.292907,4446.598747213186,Other
-322820694.2576357,-2189.150406343216,Other
136193377.7432364,-1136.99256607321,Other
172070355.74043602,-514.0204890569274,Other
185261267.74108866,-601.8355354197598,Other
159611765.74574336,-1548.2846592168835,Other
-21523371.258369155,-1252.0889970310227,D#
81920726.73912416,-505.4418965842042,Other
262100425.74610946,-1345.8854890282696,Other
116549139.74199452,-955.3340211088134,Other
